EventId,Date,Symbol,EntryPrice,ExitPrice,NotionalUsd,NetPnlUsd,RoiPct,Outcome,HoldTimeSec,SHA256Proof
EVT_035,2026-07-03,BTCUSDT,88945.9664,91080.6696,201.94,4.64,2.3%,TAKE_PROFIT,42s,e6f53e78f64c9fd04262742a442fad2ec33f39438ecf6fc3fdef302f3a443106
EVT_036,2026-04-07,ETHUSDT,3382.1146,3463.2854,202.04,4.64,2.3%,TAKE_PROFIT,42s,cdbc213af99518c7cf917c099b1e29fa5995419c7556ef4c267ff5c97afb8ef8
EVT_037,2026-04-12,ETHUSDT,3235.5908,3196.9184,202.13,-2.62,-1.3%,STOP_LOSS,18s,be920d743d34e1b7c96549cec155dbde1b55d6620d7ba4a54cb1822fee791dcc
EVT_038,2026-04-17,ETHUSDT,3378.5805,3459.6664,202.08,4.65,2.3%,TAKE_PROFIT,42s,90694b14bf6f555359e7834499f8923ad00fbc9ccbca32894f1e9e1f41303922
EVT_039,2026-05-22,ETHUSDT,3197.4589,3274.1979,202.17,4.65,2.3%,TAKE_PROFIT,42s,cb4153e297b1ca0bccb751017797d446d1b6ac91a9907c0faab07f770933f9d4
EVT_040,2026-05-27,ETHUSDT,3322.5171,3402.2575,202.26,4.65,2.3%,TAKE_PROFIT,42s,0db30172e77b36ebb7e643a56adef41f074d564ccb22719f7aca38f416ce3e2a
EVT_041,2026-05-04,ETHUSDT,3416.9734,3498.9808,202.36,4.65,2.3%,TAKE_PROFIT,42s,5dd0c6b65ae130e98fc2fd017025e78c15d7931da6243d73661d04930a7109d7
EVT_042,2026-06-09,ETHUSDT,3284.9274,3245.6653,202.45,-2.62,-1.29%,STOP_LOSS,18s,448e1365aacfa8b608fef4a6197ad59e02414cff25be2fea916b9e6ad4b2fbe4
EVT_043,2026-06-14,ETHUSDT,3293.5417,3372.5867,202.4,4.65,2.3%,TAKE_PROFIT,42s,aececefc7d723c6671e2eb35c014acf9a49b18f5d43888a9c878a4f35e0def40
EVT_044,2026-06-19,ETHUSDT,3359.384,3440.0092,202.49,4.65,2.3%,TAKE_PROFIT,42s,28911b7cc876509e785df4980a52579e4a8efce5e998186a3a472f1800f41a83
EVT_045,2026-07-24,ETHUSDT,3226.615,3304.0538,202.58,4.66,2.3%,TAKE_PROFIT,42s,e05c53c8a8f22f122e095bf3025eda108864f8dd8e7d145dce5a11f7873c57cc
EVT_046,2026-06-04,DOGEUSDT,0.2135,0.2186,202.68,4.64,2.29%,TAKE_PROFIT,42s,17797a9eddce4a0e8496ae05433b6fc37d14cb34ab966d05d148fb67e940c9ee
EVT_047,2026-06-10,DOGEUSDT,0.1961,0.2008,202.77,4.65,2.29%,TAKE_PROFIT,42s,c3bb0bc6639cb44554c6c3dea71a0f107aadc15f9e13544828749873d8ede329
EVT_048,2026-06-16,DOGEUSDT,0.223,0.2203,202.86,-2.66,-1.31%,STOP_LOSS,18s,2ef025c490bb35cb0594ebaa572b1143283f94c23fde3a5f405ccd64f4477715
EVT_049,2026-06-22,DOGEUSDT,0.1848,0.1892,202.81,4.62,2.28%,TAKE_PROFIT,42s,30f64cbec8cefacd482c0985281a84da422606a85e7dca28220cde366c06b55b
EVT_050,2026-06-28,DOGEUSDT,0.2068,0.2118,202.9,4.7,2.32%,TAKE_PROFIT,42s,9c6da4f69e04106dde21e9e19f78d3d2bb5973099c9115d6254bb10ec8334881
